headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.765,0,0.515,0.485,0,-0.999,0.058,0.826,0.115,14
-0.16,0,0.908,0.092,1,-0.952,0.064,0.806,0.131,2
0,0,1,0,0,0.891,0.053,0.924,0.023,1
-0.296,0,0.784,0.216,0,-0.996,0.067,0.843,0.089,13
-0.791,0,0.462,0.538,0,-0.999,0.063,0.754,0.183,1
0.202,0.265,0.735,0,0,-0.984,0.093,0.793,0.113,4
0,0,1,0,0,-0.99,0.055,0.868,0.077,5
0,0,1,0,0,-0.997,0.095,0.786,0.119,7
-0.459,0,0.786,0.214,0,-0.968,0.053,0.888,0.059,3
-0.681,0.113,0.403,0.484,0,-0.996,0.066,0.784,0.15,0
0.052,0.13,0.87,0,0,-0.999,0.066,0.811,0.123,9
0,0,1,0,0,0.995,0.134,0.801,0.065,3
-0.382,0,0.833,0.167,0,-0.376,0.065,0.863,0.072,2
0.402,0.197,0.803,0,0,-0.98,0.119,0.755,0.126,10
-0.494,0,0.714,0.286,0,-0.991,0.081,0.825,0.095,8
-0.296,0,0.82,0.18,0,-0.997,0.066,0.821,0.113,7
-0.128,0.194,0.576,0.23,0,-0.999,0.083,0.771,0.146,6
-0.477,0,0.661,0.339,0,0.519,0.073,0.858,0.069,5
0.459,0.25,0.75,0,0,0.702,0.091,0.825,0.084,8
-0.572,0,0.748,0.252,0,-0.969,0.029,0.876,0.095,1
-0.527,0,0.702,0.298,0,-0.999,0.089,0.786,0.125,7
0,0,1,0,0,0.995,0.117,0.83,0.053,5
-0.494,0,0.775,0.225,0,-0.926,0.109,0.785,0.106,5
0,0,1,0,0,-0.986,0.04,0.858,0.103,2
-0.459,0,0.7,0.3,0,0.119,0.049,0.901,0.05,1
-0.649,0,0.719,0.281,0,-0.997,0.052,0.839,0.108,2
-0.718,0,0.625,0.375,0,-0.939,0.027,0.899,0.074,1
-0.772,0,0.427,0.573,0,0,0,1,0,0
-0.727,0.138,0.442,0.42,0,0,0,1,0,0
-0.477,0,0.659,0.341,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0.44,0.293,0.707,0,0,0,0,1,0,0
0.637,0.296,0.704,0,0,0,0,1,0,0
-0.34,0,0.769,0.231,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.791,0,0.462,0.538,0,0,0,1,0,0
-0.34,0,0.676,0.324,0,0,0,1,0,0
-0.226,0,0.826,0.174,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.44,0,0.755,0.245,0,0.953,0.085,0.845,0.069,2
0.459,0.375,0.5,0.125,0,0.999,0.16,0.776,0.064,7
